,username,id,date,retweet,likes,text
0,IBD_ECarson,1354033929657827328,2021-01-26 11:50:20,0,1,"b'@Kathleen__Wolf @IBD_Aparna Yes. Biggest beneficiaries will likely be U.S. automakers with Midwest operations, familiarity with govt fleet sales and, presumably, union labor.'"
1,IBD_ECarson,1353888829753626624,2021-01-26 02:13:45,0,0,"b""@Marcelo16477023 No s\xc3\xa9. I don't think there was a news trigger. Market reversed lower and then rebounded. It wasn't that big of a move really. I suspect the strong bullish enthusiasm mixed with the market being somewhat extended can spur bigger swings back and forth. But \xf0\x9f\xa4\xb7..."""
2,IBD_ECarson,1353847056964612096,2021-01-25 23:27:46,298,0,b'RT @mattyglesias: Houston doctor gave some expiring vaccine doses to people in non-priority groups after first offering them to nearby prio\xe2\x80\xa6'
3,IBD_ECarson,1353843150230446087,2021-01-25 23:12:14,1,0,b'RT @IBD_Aparna: #EV #Stocks Rally Late As Biden To Electrify Federal Fleets https://t.co/BYSO7nCUIf $WKHS $RIDE'
4,IBD_ECarson,1353832858121433089,2021-01-25 22:31:21,0,10,"b""But that's me. You should be reviewing your portfolio consistently. Make (and update) a game plan that works for *you* and follow it. (8/8) https://t.co/fJsE14JEoj"""
5,IBD_ECarson,1353832849724502016,2021-01-25 22:31:19,0,10,"b""Perhaps I'm too worried. But because I *am* worried, if I did nothing I'd be highly vulnerable to a market pullback AND prone to panic selling, esp. with stocks I don't have conviction in. So I game planned for portfolio management and my delicate psyche. (7/ https://t.co/xRqdNDlQqN"""
6,IBD_ECarson,1353832841251942401,2021-01-25 22:31:17,0,9,"b""FYI: I decided Sunday that my own exposure was too high - way too high. So I decided to cut back Monday. Luckily, I took advantage of the strong open to bank profits in some volatile IPOs and cut loose some weak performers. I'm still heavily invested, but no longer on margin. (6/ https://t.co/2zUTUmuFlt"""
7,IBD_ECarson,1353832833140183040,2021-01-25 22:31:15,0,6,"b'Many growth stocks had nasty (if short-lived) reversals today when the Nas was down just 1%! If the Nasdaq had a 3-day sell-off like in early Sept., how would your portfolio react? More importantly, how would *you* react? (5/ https://t.co/S8HZlHkA4v'"
8,IBD_ECarson,1353832824483110912,2021-01-25 22:31:13,0,6,"b""Earnings season, high bullish sentiment and a lot of froth in some areas add to the risk. There's no need to be defensive - the market is working - but be prepared. (4/ https://t.co/dlRrdwb6H3"""
9,IBD_ECarson,1353832816199385088,2021-01-25 22:31:11,0,5,"b'Nasdaq is now 8.2% above its 50-day line, a new high in the Election rally, though not at the late Aug./early Sept. peaks. (Nas is 4.1% above its 21-day EMA) So the risk of a pullback remains high - with higher odds that any pullback could be larger. (3/ https://t.co/N0HhD0SylX'"
10,IBD_ECarson,1353832808678969344,2021-01-25 22:31:09,0,4,"b'But a lot of growth stocks had some wild swings. A few hot stocks just powered higher while others gave up gains and then rebounded somewhat. Software did not have a good day. Chips were mixed. Cyclicals sold off. ($FCX, $EMN, $CAT  due this week.) (2/'"
11,IBD_ECarson,1353832807265488898,2021-01-25 22:31:08,0,15,"b'Interesting market day, with the Nasdaq up sharply at the open, then reversing for a 1.3% loss before rebounding for a 0.7% gain. Apple and Tesla led the way, with Microsoft, AMD and Facebook all up more than 1%. All five have earnings Tue-Wed. $AAPL $TSLA $MSFT $AMD $FB (1/ https://t.co/9d6C9HUptZ'"
12,IBD_ECarson,1353819516153696262,2021-01-25 21:38:20,0,0,"b""@TMSP85 @lorakolodny @CatClifford I'm sure it is. Don't know how GM/Ford/etc. will stack up. But, politically, it makes more sense to buy EVs from the industrial Midwest (GM/F/WKHS/RIDE/Rivian) than deep-blue CA. Also, I'm sure unions would push Biden to buy union-made EVs, such as GM/Ford."""
13,IBD_ECarson,1353815494369796097,2021-01-25 21:22:21,0,0,"b""@TMSP85 @lorakolodny @CatClifford Glad you've got no issues. But Tesla does rank at the bottom for the JD Power initial quality survey. The low # of service centers per Tesla vehicles is a problem. Some Tesla selling points - 0-60, general brand image - should be less impt. for a govt contract."""
14,IBD_ECarson,1353812637688025088,2021-01-25 21:11:00,0,0,"b'@TMSP85 @lorakolodny @CatClifford ""Reinstated"" basically means ""reinstated"" for Tesla in 2021 and GM in 2022. \n\nBy year-end, we\'ll have GM and Ford EV delivery vans. By 2022, we\'ll have U.S.-made ID.4 and a bunch of cars/trucks. Tesla\'s poor build quality and low number of service centers are negatives.'"
15,IBD_ECarson,1353809838657007617,2021-01-25 20:59:52,0,0,b'@TMSP85 @lorakolodny @CatClifford This might help Tesla - or not. Depends on who gets the contracts. \nhttps://t.co/KOo4xEcsSK'
16,IBD_ECarson,1353808796875804674,2021-01-25 20:55:44,0,0,"b""@TMSP85 @lorakolodny @CatClifford GM will be fine. Tesla has no problems with competition ... as long as there's no competition."""
17,IBD_ECarson,1353808535893630976,2021-01-25 20:54:42,0,0,"b""@TMSP85 @lorakolodny @CatClifford That's his plan. He can do the emissions/mileage stuff on his own. He needs Congress to vote for special Tesla subsidies."""
